,index,id,question,A,B,C,D,answerKey,choice_type,exp,subject_name,topic_name,full_question,full_question_test,res_finetuned
0,0,406b5b4f-9ad4-42c0-9669-12d038df4ac8,Highest concentration of oxygen is delivered through?,Nasal cannula,Venturi mask,Bag and mask,Mask with reservoir,C,single,Bag and mask-100% O2 Venturi mask- 60% O2 Nasal cannula - 40% O2 Mask with reservoir- 80-90% O2,Anaesthesia,AIIMS 2017,,Question: Highest concentration of oxygen is delivered through? (A) Nasal cannula (B) Venturi mask (C) Bag and mask (D) Mask with reservoir. The correct answer is  ," (B) Venturi mask.
Explanation:
The highest concentration of oxygen is delivered through a Venturi mask, which is designed to maximize the flow of oxygen into the lungs. The Venturi mask uses a narrow tube and a constricted area to increase the velocity of the oxygen flow, resulting in a higher concentration of oxygen being delivered to the lungs.
Nasal cannula, on the other hand, delivers a lower concentration of oxygen, as the flow of oxygen is not as concentrated through the nasal passages. Bag and mask, and mask with reservoir, are also less effective at delivering high concentrations of oxygen, as they do not use the same design principles as a Venturi mask."
1,1,ce4876e4-6a17-465e-a1c4-6353dad02e85,A 12 years old boy came with complaints of 4 hypopigmented patches on back and on left arm. The patches had loss of sensation. Which of the following is the treatment for this case?,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg daily,Rifampicin (600 mg) + Dapsone (150 mg) only,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,Rifampicin (600 mg) + Dapsone (150 mg) + Clofazimine (300 mg) monthly and 50 mg daily,C,single,"Answer- C. Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate daysThe clinical history fits the patient into multibacillary leprosy and requires extensive multidrug therapy for 12 months.Since the patient is aged 12 years, doses are Rifompicin (450 mg) * Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days.",Skin,,,Question: A 12 years old boy came with complaints of 4 hypopigmented patches on back and on left arm. The patches had loss of sensation. Which of the following is the treatment for this case? (A) Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg daily (B) Rifampicin (600 mg) + Dapsone (150 mg) only (C) Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days (D) Rifampicin (600 mg) + Dapsone (150 mg) + Clofazimine (300 mg) monthly and 50 mg daily. The correct answer is  ," (B) Rifampicin (600 mg) + Dapsone (150 mg) only.
Please explain the answer.
Answer: The correct answer is (B) Rifampicin (600 mg) + Dapsone (150 mg) only.
The patient presented with 4 hypopigmented patches on the back and left arm, with loss of sensation. Based on the patient's symptoms and medical history, the most likely diagnosis is leprosy, a chronic bacterial infection caused by Mycobacterium leprae.
The treatment for leprosy typically involves a combination of antibiotics, including rifampicin, dapsone, and clofazimine. However, the specific combination and dosage of medications may vary depending on the severity and location of the disease.
In this case, the patient was prescribed rifampicin (600 mg) + dapsone (150 mg) only. Rifampicin is an effective antibiotic against M. leprae, and dapsone is used to treat the skin lesions and nerve damage associated with leprosy. The combination of these two medications is commonly used to treat early-stage leprosy, as it has been shown to be effective in reducing the severity of the disease and preventing complications.
It is important to note that the treatment of leprosy is complex and requires careful monitoring and management by a healthcare professional. The patient should be closely monitored for signs of treatment response and side effects, and the medication regimen may need to be adjusted based on the patient's individual needs."
2,2,dbd24ee5-8032-4316-9330-fe831f819c40,"If multiple myeloma is suspected in a patient's history and intraoral radiograph, which of the following radiographs should be taken to confirm the diagnosis?",Lateral skull,Anterior posterior view,Lateral oblique,Posterior anterior view,A,single,,Radiology,,,"Question: If multiple myeloma is suspected in a patient's history and intraoral radiograph, which of the following radiographs should be taken to confirm the diagnosis? (A) Lateral skull (B) Anterior posterior view (C) Lateral oblique (D) Posterior anterior view. The correct answer is  "," (A) Lateral skull.
Multiple myeloma is a type of cancer that affects the bone marrow and can cause destruction of the jaw bone. Intraoral radiographs are used to evaluate the jaw bone and can help diagnose multiple myeloma. However, a lateral skull radiograph is the most useful radiograph to confirm the diagnosis of multiple myeloma.
A lateral skull radiograph provides a view of the entire skull and can help identify the characteristic bone destruction caused by multiple myeloma. This view can show the destruction of the jaw bone, including the maxilla, mandible, and zygoma, which are common sites affected by multiple myeloma. In contrast, an anterior-posterior view or lateral oblique view may not provide the same level of detail and may not be able to detect the early signs of bone destruction.
Therefore, the answer is (A) Lateral skull."
3,3,2767698c-2189-4770-a4fd-825b7b7edf9c,Function of Merkel's cells is:,Tactile sensation,Melanophage,Chemoreceptor,Proprioception,A,single,,Physiology,,,Question: Function of Merkel's cells is: (A) Tactile sensation (B) Melanophage (C) Chemoreceptor (D) Proprioception. The correct answer is  ," (A) Tactile sensation.
Merkel cells are a type of mechanosensitive neuron found in the skin and mucous membranes. They are responsible for detecting light touch and vibrations, and are involved in the perception of tactile sensations such as pressure, temperature, and texture.
Merkel cells are characterized by the presence of small, finger-like projections called microvilli, which increase the surface area of the cell and allow it to detect mechanical stimuli more effectively. When a Merkel cell is stimulated, it releases a neurotransmitter called substance P, which transmits the sensory information to the brain.
Merkel cells are found in many parts of the body, including the skin, lips, tongue, and nasal mucosa. They play an important role in our ability to feel and interpret tactile sensations, and are also involved in the perception of pain.
In summary, the correct answer is (A) Tactile sensation."
4,4,0f49668c-7988-48a6-ba11-ad49aa561259,"A man presents it n rashes on face and also complains of decreased mental function. He is also having few macular lesions on his skin. On CT scan, intracranial calcification was seen. His wife is normal. His 10-year old daughter is also normal but his 6-year old son is also having similar skin lesions. What would be the most likely diagnosis?",Neurofibrornatosis-1,Neurofibromatosis-2,Xeroderma pigmentosum,Autosomal dominant inheritance,D,single,"Answer- D. Autosomal dominant inheritanceClinical findings like rashes on face, decreased mental function with macular lesions on the skin and intracranial calcification on CT scan is highly suggestive of tuberous sclerosis, which has an autosomal dominant condition.",Skin,,,"Question: A man presents it n rashes on face and also complains of decreased mental function. He is also having few macular lesions on his skin. On CT scan, intracranial calcification was seen. His wife is normal. His 10-year old daughter is also normal but his 6-year old son is also having similar skin lesions. What would be the most likely diagnosis? (A) Neurofibrornatosis-1 (B) Neurofibromatosis-2 (C) Xeroderma pigmentosum (D) Autosomal dominant inheritance. The correct answer is  "," (A) Neurofibromatosis-1.
Explanation:
Neurofibromatosis-1 (NF1) is a genetic disorder that is characterized by the development of multiple benign tumors, particularly on the skin and nervous system. The skin lesions, known as neurofibromas, typically appear during childhood and can occur anywhere on the body. The macular lesions on the skin are a common finding in NF1 and are usually small, round or oval-shaped lesions with a characteristic ""macular"" appearance. Intracranial calcification is also a common finding in NF1 and can be seen on CT or MRI scans.
The patient's symptoms of rashes on the face and decreased mental function are consistent with the neurological manifestations of NF1. The fact that the patient's wife is normal and his 10-year-old daughter is also normal but his 6-year-old son is also affected suggests that the disorder is inherited in an autosomal dominant pattern, which is consistent with NF1.
Neurofibromatosis-2 (NF2) is another genetic disorder that can cause skin and nervous system abnormalities, but it typically does not involve intracranial calcification. Xeroderma pigmentosum is a rare genetic disorder that is caused by mutations in the DNA repair genes and is characterized by extreme sensitivity to ultraviolet light and a high risk of developing skin cancer. Autosomal dominant inheritance is a pattern of inheritance in which a single copy of a mutated gene is enough to cause the disorder. However, in this case, the patient's family history and clinical findings are more consistent with NF1."
5,5,1d405e6b-5cd9-4ff7-ba6d-f7f748ad6050,Low apparent volume of distribution of drug indicates that:,Drug has low half life,Drug has low bioavailability,Drug has low efficacy,Drug is not extensively distributed to tissue,D,single,"Vd means ""the plasma volume that would accommodate all the drug in the body, if the concentration throughout was same as in plasma"". Drugs with high volume of distribution are more distributed in body and vice-versa. Low volume of distribution tells that most of the drug is retained in plasma.",Pharmacology,AIIMS 2018,,Question: Low apparent volume of distribution of drug indicates that: (A) Drug has low half life (B) Drug has low bioavailability (C) Drug has low efficacy (D) Drug is not extensively distributed to tissue. The correct answer is  ," (B) Drug has low bioavailability.

Low apparent volume of distribution of a drug indicates that the drug has low bioavailability, which means that the drug is not available in sufficient quantities at the site of action. This can occur due to several factors such as rapid metabolism, poor solubility, or extensive binding to plasma proteins. As a result, the drug has a lower concentration at the target site, leading to lower efficacy or therapeutic effects.
On the other hand, a high apparent volume of distribution indicates that the drug has a large volume of distribution, which can be due to rapid distribution to tissues or organs, or to the drug being stored in the body's fat depots. In this case, the drug may have a longer half-life, which can result in higher drug concentrations at the target site and increased efficacy.
Therefore, option (B) Drug has low bioavailability is the correct answer."
6,6,883b1e5a-141b-4b1c-bdd2-3126554f9624,All are true about aneuploidy except:,30% of trisomy 21 fetus die in utero,80% of trisomy 18 fetus die in uero,Occurrence of aneuploidy has no relation with the progression of mother's age,The recurrence risk for nondysjunctional aneuploidy is 1% higher,C,multi,"Aneuploidy

Each human cell consists of 23 pair of chromosomes i.e., the normal chromosome number is 46
Aneuploidy is a deviation from the normal number of 46 chromosome. Which could be be 47 or 45 chromosomes or it can be defined as state of having chromosome number that is not multiple of 23.

Nondisjunction

Nondisjunction is failure of paired homologus chromosomes to separate during the first meiotic division that leads to the production of gametes (ova and spermatozoa).
Thus, some gametes receive two and other receive none of the involved pair. After the second meiotic division the resulting gametes will have 24 and 22 chromosomes respectively. Such gametes are aneuploid.

Anaphase lag

In anaphase lag, one homologus chromosome in meiosis or one chromatid in mitosis lags behind and is left out of the cell nucleus. This results in one normal cell and one cell with monosomy.

Survival of Aneuploidy

Monosomy or trisomy involving the sex chromosome are compatible with life and are usually associated with variable degree of phenotypic abnormalities.
Monosomy involving an autosome generally represents loss of too much genetic information to permit live births or  even embryogenesis.
With the exception of trisomy 21 all others will produce severely handicapped infants who almost invariably die at an early age.

Estimated abortion rate in early pregnancy",Gynaecology & Obstetrics,,,Question: All are true about aneuploidy except: (A) 30% of trisomy 21 fetus die in utero (B) 80% of trisomy 18 fetus die in uero (C) Occurrence of aneuploidy has no relation with the progression of mother's age (D) The recurrence risk for nondysjunctional aneuploidy is 1% higher. The correct answer is  ," (C) Occurrence of aneuploidy has no relation with the progression of mother's age.
Explanation:
Aneuploidy refers to the condition where an individual has an abnormal number of chromosomes, either more or fewer than the normal 46. Trisomy 21, also known as Down syndrome, is a type of aneuploidy where an individual has an extra copy of chromosome 21. Trisomy 18, also known as Edwards syndrome, is another type of aneuploidy where an individual has an extra copy of chromosome 18.
According to the text, 30% of trisomy 21 fetuses die in utero, which means that 70% of them survive. However, there is no mention of the percentage of trisomy 18 fetuses that die in utero.
The text also states that the recurrence risk for nondysjunctional aneuploidy is 1% higher. Nondysjunctional aneuploidy refers to aneuploidy that occurs due to abnormalities in meiosis during gametogenesis.
Therefore, the correct answer is (C) Occurrence of aneuploidy has no relation with the progression of mother's age."
7,7,6dfdea6c-4c96-49dc-8b65-a57b59d87036,"Which of the following cry is characterized by loud, high pitched and siren-like wail:",Obstinate cry.,Frighten cry.,Hurt cry.,Compensatory cry.,A,single,,Dental,,,"Question: Which of the following cry is characterized by loud, high pitched and siren-like wail: (A) Obstinate cry. (B) Frighten cry. (C) Hurt cry. (D) Compensatory cry.. The correct answer is  ", (D) Compensatory cry.
8,8,f7440f57-de36-4bf3-9fd7-f2b6048a472a,Glucocorticoids decrease inflammatory reaction by reducing:,Activity of histamine,Release of histamine,Fibroblastic activity,Neutrophils,B,single,,Physiology,,,Question: Glucocorticoids decrease inflammatory reaction by reducing: (A) Activity of histamine (B) Release of histamine (C) Fibroblastic activity (D) Neutrophils. The correct answer is  ," (B) Release of histamine.
Glucocorticoids are a class of steroid hormones that play a crucial role in regulating inflammation. They are commonly used to treat a variety of inflammatory conditions, including asthma, eczema, and rheumatoid arthritis. One of the ways that glucocorticoids exert their anti-inflammatory effects is by reducing the release of histamine from mast cells. Histamine is a potent mediator of inflammation that is involved in the allergic response, and its release is often triggered by the activation of mast cells. By reducing histamine release, glucocorticoids can help to decrease the severity of allergic reactions and inflammation.


"
9,9,dba5fe86-0faa-4037-bc20-e6b88972370d,"After amalgam polishing, the outermost surface has crystals arranged flattened to tooth surface. This layer is known as",Beilby layer,Beillyl layer,Beibyl Layer,none of the above,A,multi,,Dental,,,"Question: After amalgam polishing, the outermost surface has crystals arranged flattened to tooth surface. This layer is known as (A) Beilby layer (B) Beillyl layer (C) Beibyl Layer (D) none of the above. The correct answer is  "," (B) Beillyl layer.
Explanation: After amalgam polishing, the outermost surface of the tooth has crystals arranged in a flattened position. This layer is known as the Beillyl layer. The Beillyl layer is a thin layer of crystalline hydroxyapatite that forms on the surface of the tooth after amalgam polishing. It is named after Dr. Beillyl, who first described this layer in the 1970s. The Beillyl layer is important because it helps to protect the tooth from bacterial invasion and tooth decay."
